followers,is_public,is_collaborative,num_of_songs,num_of_markets_avg,song_popularity_avg,song_popularity_std,song_duration_avg,song_duration_std,num_of_artists,artist_popularity_avg,artist_popularity_std,artist_genres,last_update,first_update,active_period,playlist_name_length,name_score,decade_1900,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2000,decade_2010,danceability_avg,danceability_std,energy_avg,energy_std,key_avg,key_std,loudness_avg,loudness_std,mode_avg,mode_std,speechiness_avg,speechiness_std,acousticness_avg,acousticness_std,instrumentalness_avg,instrumentalness_std,liveness_avg,liveness_std,valence_avg,valence_std,tempo_avg,tempo_std,duration_ms_avg,duration_ms_std,time_signature_avg,time_signature_std
602,1,0,600,51.89,46.33,11.6825125722,168801.39,33128.5010177,105,54.3523809524,9.31151969836,108,1512425268.0,1442245722.0,70179546.0,31,0,0,0,0,0,0.01,0.04,0.18,0.07,0.09,0.16,0.29,0.16,0.49671,0.136826334819,0.462368,0.209880755611,4.79,3.32654475395,-10.83367,3.80345457461,0.86,0.346987031458,0.041835,0.0239444455981,0.62696823,0.253243166921,0.0104099476,0.0693773198634,0.180714,0.15725817945,0.61228,0.234135220759,115.66638,25.0838237694,168805.81,33124.98557,3.82,0.455631429996
3124,1,0,600,50.34,39.96,14.8579406379,226318.95,53248.6242439,103,53.6601941748,9.58209636959,50,1512436016.0,1442276712.0,70159304.0,20,0,0,0,0,0,0,0,0,0,0,0,0.36,0.64,0.39237,0.150355954654,0.8594,0.179793993226,5.92,3.4225136961,-4.76169,1.98880898376,0.54,0.498397431775,0.096844,0.0635581581231,0.0564060224,0.138965718001,0.1096435984,0.243010868644,0.259457,0.187405632922,0.322409,0.199908815761,129.68745,31.3537282537,226316.57,53246.4385243,3.92,0.337045990927
897,1,0,600,55.53,32.42,18.4846855532,197516.1,60944.6878564,109,46.9816513761,13.7453789742,132,1512435315.0,1442276616.0,70158699.0,17,0,0,0,0,0,0,0,0,0.03,0.34,0.18,0.24,0.21,0.38576,0.163553240261,0.86444,0.144464550669,5.3,3.7563279942,-6.91153,3.18625237373,0.77,0.42083250825,0.087783,0.0697375236942,0.0535713381,0.137560895436,0.2508574117,0.342944899731,0.224624,0.187219381539,0.484801,0.253882174047,127.78885,37.2500506371,197501.84,60897.4274617,3.94,0.341174442185
255,1,0,500,56.66,50.19,12.8239580473,223022.82,65542.6923528,175,53.6536312849,11.7346179215,40,1512428488.0,1466035912.0,46392576.0,32,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.72282,0.0876874426586,0.73047,0.127710411087,5.06,3.83619603253,-6.22769,1.84057422396,0.6,0.489897948557,0.056811,0.0394351262075,0.10199305,0.129295398907,0.1512436843,0.294552928561,0.168064,0.128076300321,0.446332,0.208470577243,117.65541,10.5009011557,223023.18,65542.695479,3.98,0.14
1425,1,0,600,54.87,42.0,13.9140217047,224778.16,67562.5356173,120,53.7049180328,12.8156465106,134,1512429519.0,1468459096.0,43970423.0,24,0,0,0,0,0,0,0,0,0,0,0,0.09,0.91,0.64076,0.172747163218,0.63468,0.206405081333,5.58,3.65836028844,-7.65187,3.00138969364,0.5,0.5,0.140386,0.108678897694,0.25394013,0.280875380672,0.1590376197,0.287851047157,0.179085,0.141364797864,0.438569,0.246617969214,123.05808,30.3415527222,224778.62,67562.6264445,4.01,0.264386081328
308,1,0,600,54.58,34.66,15.6724088767,224681.24,85921.9401373,104,51.2095238095,11.0606081277,90,1512432140.0,1442276179.0,70155961.0,23,0,0,0,0,0.01,0,0.07,0.11,0.12,0.05,0.18,0.28,0.18,0.58633,0.142402391483,0.315698,0.203390715117,5.46,3.68624470159,-13.52718,4.98545892447,0.66,0.473708771293,0.0538,0.0393944716934,0.732453,0.277316968271,0.2385141819,0.360480314567,0.182732,0.164441258132,0.550651,0.248798871177,112.06442,34.5196044471,224697.25,85918.8028639,3.81,0.462493243194
383,1,0,500,56.93,46.07,15.2481179166,232024.38,44971.382918,172,59.3138297872,13.4149178716,60,1512429340.0,1459180089.0,53249251.0,28,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.63016,0.131388410448,0.82884,0.125312546858,5.81,3.74618472582,-4.77592,1.97840793913,0.59,0.491833305094,0.102379,0.0871681688405,0.04492663,0.0811963940242,0.2234554196,0.316409144183,0.207076,0.185333121228,0.369334,0.21635105048,129.27457,26.4537477448,232024.77,44971.3715859,4.0,0.2
278,1,0,500,58.16,39.6,17.7521829644,208425.12,39227.5484886,114,55.2195121951,15.3132795261,12,1512436086.0,1434418515.0,78017571.0,36,0,0,0,0,0,0,0,0,0,0.01,0.1,0.32,0.57,0.58491,0.128680775176,0.69883,0.188678883556,5.25,3.84024738786,-6.16744,2.86658594262,0.88,0.324961536185,0.069205,0.0576067467837,0.479768,0.239466604302,0.0005702274,0.00555118160015,0.410781,0.31766704478,0.64283,0.180672303079,122.48065,31.3265547296,208444.31,39243.0004698,3.87,0.336303434416
1206,1,0,600,49.0,40.24,14.1874028631,234735.62,57336.7692961,106,56.1214953271,9.15465284935,84,1512433977.0,1442276425.0,70157552.0,26,0,0,0,0,0,0,0,0,0,0,0.07,0.22,0.71,0.5235,0.129699306089,0.42397,0.260547341763,5.22,3.45710861848,-11.12695,4.36269378108,0.8,0.4,0.039451,0.016208883336,0.56751372,0.343906786944,0.1068258735,0.232550900056,0.149505,0.11621493654,0.45358,0.245199758564,120.65466,28.1058533719,234735.99,57336.6765314,3.9,0.331662479036
1084,1,0,600,46.38,48.4,12.2955276422,221398.06,38303.2673744,135,56.7792207792,13.2161091948,11,1512430438.0,1442250471.0,70179967.0,27,0,0,0,0,0,0,0,0,0,0,0.02,0.18,0.8,0.66419,0.117465798852,0.72447,0.117041142766,5.33,3.55261875241,-6.32805,2.11906424336,0.48,0.499599839872,0.21823,0.104644258801,0.13464112,0.142132861811,0.0100387298,0.0767087640358,0.185021,0.14682755143,0.55119,0.191206678492,115.97073,32.7058246096,221398.42,38303.3005341,3.99,0.223383079037
